weighting,model,scenario,rank,region_id,region,distance
equal,MPI-ESM1-2-HR,ssp245,18,US_IL_CHAMPAIGN,Champaign Illinois,4.111
equal,MPI-ESM1-2-HR,ssp245,19,AU_NORTHAM,Northam Australia,4.161
equal,MPI-ESM1-2-HR,ssp245,20,UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,4.259
equal,MPI-ESM1-2-HR,ssp245,21,UA_POLTAVA,Poltava Ukraine,4.36
equal,MPI-ESM1-2-HR,ssp245,22,US_ND_FARGO,Fargo North Dakota,4.636
equal,MPI-ESM1-2-HR,ssp245,23,ES_VALLADOLID,Valladolid Spain,5.137
equal,MPI-ESM1-2-HR,ssp245,24,TR_KONYA,Konya Turkey,5.402
equal,MPI-ESM1-2-HR,ssp245,25,BR_LONDRINA,Londrina Brazil,5.411
equal,MPI-ESM1-2-HR,ssp245,26,ZA_MALMESBURY,Malmesbury South Africa,5.666
equal,MPI-ESM1-2-HR,ssp245,27,CA_SK_REGINA,Regina Saskatchewan,5.667
equal,MPI-ESM1-2-HR,ssp245,28,FR_CHARTRES,Chartres France,5.712
equal,MPI-ESM1-2-HR,ssp245,29,KZ_KOSTANAY,Kostanay Kazakhstan,5.899
equal,MPI-ESM1-2-HR,ssp245,30,BR_PASSOFUNDO,Passo Fundo Brazil,5.997
equal,MPI-ESM1-2-HR,ssp585,1,US_OK_ENID,Enid Oklahoma,1.096
equal,MPI-ESM1-2-HR,ssp585,2,US_TX_AMARILLO,Amarillo Texas,1.283
equal,MPI-ESM1-2-HR,ssp585,3,US_KS_GARDENCITY,Garden City Kansas,1.511
equal,MPI-ESM1-2-HR,ssp585,4,AU_DUBBO,Dubbo Australia,2.512
equal,MPI-ESM1-2-HR,ssp585,5,US_TX_WACO,Waco Texas,2.603
equal,MPI-ESM1-2-HR,ssp585,6,AR_MARCOSJUAREZ,Marcos Juarez Argentina,2.777
equal,MPI-ESM1-2-HR,ssp585,7,US_CO_STERLING,Sterling Colorado,3.094
equal,MPI-ESM1-2-HR,ssp585,8,AU_WAGGA,Wagga Wagga Australia,3.302
equal,MPI-ESM1-2-HR,ssp585,9,AR_PERGAMINO,Pergamino Argentina,3.407
equal,MPI-ESM1-2-HR,ssp585,10,US_MO_COLUMBIA,Columbia Missouri,3.513
equal,MPI-ESM1-2-HR,ssp585,11,US_NE_HASTINGS,Hastings Nebraska,3.518
